Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,12150.90,-,4124.54,5098.00,1531.74,1680.95,3
2,1m|2g|2|read|48|10,12795.36,-,4210.46,5433.00,1497.44,1737.17,3
3,1m|5g|2|read|48|10,10853.35,-,2845.62,4047.00,1434.38,1681.50,3
4,1m|10g|2|read|48|4,10732.64,-,3371.91,5020.00,1450.57,1712.26,3
5,1m|32m|2|read|48|100,11207.30,-,2280.91,3996.00,1048.93,1702.88,3
6,1m|64m|2|read|48|100,11557.02,-,2687.22,4384.00,1294.95,1784.62,3
7,1m|1g|2|read|96|20,10340.06,-,2675.67,3956.00,1572.57,1834.37,3
8,1m|2g|2|read|96|10,13090.69,-,4053.04,5172.00,1634.59,1851.09,3
9,1m|5g|2|read|96|10,11190.60,-,3048.17,3981.00,1579.83,1754.82,3
10,1m|10g|2|read|96|4,12942.72,-,4406.01,5500.00,1629.04,1907.08,3
11,1m|32m|2|read|96|100,11920.63,-,2894.25,4368.00,1413.06,2018.55,3
12,1m|64m|2|read|96|100,12302.62,-,3636.19,4522.00,1603.95,2075.59,3
